markup_id,reason,grade,error_tag,correct
222,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,denkt
1921,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Zusammengesetzte Wörter,Ausrufesätze
5196,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Auslassungen,ist
5220,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,ein schönes Gastkonzert
7698,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
8074,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Auslassungen,alt
8233,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,liegen lassen
8294,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
8745,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
269517,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Feste Wendungen,Was ihr wollt
269890,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Deklination von Adjektiven,voll
269892,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Deklination von Adjektiven,traurig
10504,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Wortstellung,Geschenk meiner Mutter
10501,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Deklination,Mutter
269895,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,Seine Stirn
270222,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Orthographie,Hut
270216,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,Seine Stirn
11508,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,-
12018,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,als
12032,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Wahl der Präposition,zu
12146,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Negationsartikel,kein
12153,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Auslassungen,seit
12170,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wahl der Präposition,zu
269919,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Numerus,einen Schnurbart
270262,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,eingeschlafen
269926,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Deklination von Adjektiven,glatt
269928,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Deklination von Adjektiven,hoch
269930,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Geschlecht,seine Nase
269933,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Deklination von Adjektiven,eingefallen
12626,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Trennbare Verben,üben
12632,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,schafft
12784,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Trennbare Verben,stellt ... dar.
12788,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Lexemauswahl,Arbeit
12801,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Trennbare Verben,übt
12810,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,reich
12815,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,sehen ... an
12816,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Kauf
12822,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Jugendlichen
12825,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Kaufpreis
12941,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Präsens,warte auf deine Antwort
13112,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Logik,Es hat mir auch gefallen
14216,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
269437,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,als
269439,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,Als
14897,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,sie
14910,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexik,Russe
14912,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,davon
15046,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Lexemauswahl,echt gut
15101,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wortstellung,der Idee nach
15214,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Orthographie,Agriculture
15252,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,LG
15300,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,sehr
15614,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,Skulptur
16824,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Präpositionen,in der letzten Zeit
16902,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
17128,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Numerus,die FIscher
17132,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Numerus,die Fischer
17174,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,und
17279,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,ein sehr schöner Ort
17343,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Wortstellung,auch ein Symbol der Freundschaft
17385,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Wortstellung,auch ein deutsches Geschenk 
17730,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Wunsch
18646,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Lexemauswahl,das ist wohl möglich
18898,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
19429,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Deklination,Volkes
19529,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,bedeutet
19555,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
19734,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,unterrichtet... Hunderte
269502,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Passiv,die Grundlagen der Gesellschaft und besonders die Institution der Familie beschädigt werden?
20284,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Begrenzung
20311,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,heutzutage relevant
20489,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,dazu
20695,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Reflexivpronomen,uns
20711,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Trennbare Verben,trat...ein
21151,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,vernachlässigt
21302,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Präsens,versuche
21351,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
21362,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Natascha Rostowa
21429,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Rostows und Bolkonskijs
21446,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Andrej Bolkonskij
21454,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,Nikolaj und Petja
21458,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Natascha Rostowa
23731,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
24612,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Mikhailowitsch Roschal
26749,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konnektoren,Aber
26758,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Numerus,Informationen
26810,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,davon
26862,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
26936,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
27706,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Feste Wendungen,schlechte Zeiten
27807,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Feste Wendungen,gut in Form
28846,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
28910,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Numerus,kein Geld
28984,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,diesen
29143,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
29145,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
29271,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
29663,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,mache
29694,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Sambo
29700,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,sehr
29723,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,oder
30490,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,mit
30959,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Die Russen
31059,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Russen
31388,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,In der Welt
31428,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,Natur
32381,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,es
32473,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,besprochene
32489,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,Es
32675,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,ins EIs eingebrochen waren
33185,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,lösen
35211,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Auslassungen,Man muss die Batterien nicht wegwerfen
35306,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
35519,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Feste Wendungen,Also
35616,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Beispiel
35671,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,jeder Zitat
36102,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Lernen
36200,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36216,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36250,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36297,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36314,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
36818,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,als was
39270,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
39414,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,stärkt
39468,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,liebte
39963,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,davon
40255,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Trennbare Verben,wechseln
40415,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Korrespondenz hielt
40848,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
40884,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,stärken
40893,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,den Tagesablauf
41091,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,ihren Blick
41094,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wahl der Präposition,zum
41379,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Unterricht
41406,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Interpunktion,","
41445,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,eine sehr bekannte feste Redewendung
41557,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,gesund
41575,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,feste Redewendung
41630,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
41750,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Sportvereine
41763,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
42207,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Sport
42306,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
42370,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu leben
42403,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Zusammengesetzte Wörter,Studentenwohnheimleben
42406,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Konnektoren,auch
42775,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Überflüssige Elemente,-
42971,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Sowetskaja
43668,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu verbringen
43683,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu führen
270236,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,Ein
44983,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Konjunktionen,Wenn
45110,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Vergleichkonstruktionen,als
45711,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu trinken
45719,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu gehen
46007,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Direkte Wortfolge,Der Autor betont auch
46013,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,ein
46038,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu leben
46069,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Auslassungen,es
46502,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Pronomen,man
47393,Interferenz mit der Muttersprache,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,angezogen
269498,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Petrosawodsk
48392,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Infinitivkonstruktionen mit zu,zu bleiben
49353,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Waschbecken
49546,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,Waschbecken
49894,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,Jede Variante
50164,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,schwimmen 
50166,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,joggen 
50722,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Lexemauswahl,mieten
50721,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Infinitivkonstruktionen mit zu,zu mieten
50727,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Überflüssige Elemente,-
51237,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,du
52013,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Frühgymntastik
269550,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Internet
52280,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,wirken
269596,Tippfehler,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,Internet
269600,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
269601,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
52303,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,versteht
52656,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
52810,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,es
52877,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
53007,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,getrennt
53020,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
53316,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Rektion von Verben,nach
53627,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Au­ßer­dem
53628,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Interpunktion,-
53630,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Orthographie,oft
53660,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,auch
53678,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,Letzten Endes
53930,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,gibt
54036,Tippfehler,Der Sinn ist unverständlich oder verfälscht,Orthographie,seit
54071,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,mag
54082,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis nicht,Wahl der Zeitform,komme
54107,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Indirekte Wortfolge,bin ich
54715,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
54774,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Personalpronomen,Es
54897,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Wahl der Präposition,an
54932,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Possessivpronomen,meine
55189,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
55351,Tippfehler,Der Fehler beeinträchtigt das Verständnis,Orthographie,Geschirr
55352,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Sprachstil,und
55908,Interferenz mit Englisch,Der Sinn ist unverständlich oder verfälscht,Orthographie,Vater
56065,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,ein Bett
269626,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Geschlecht,eine gesunde Lebensweise
269510,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis nicht,Orthographie,ich
57190,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,ihr nachgehen
57528,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,daran
58038,Interferenz mit der Muttersprache,Der Fehler beeinträchtigt das Verständnis,Adverbien,danach
58498,Interferenz mit Englisch,Der Fehler beeinträchtigt das Verständnis,Lexemauswahl,öfter
